date time,message id,agency,message
02-08-2024 06_42_21,7012376,20,"MFS: *CFSRES INC0013 02/08/24 06:42 RESPOND STRUCTURE FIRE, ALARM LEVEL: 1, 15 ROBERTS RD HACKHAM WEST,MAP:ADL 186 K11,TG C173 T183, == FRIDGE ON FIRE WITHIN RUMPUS ROOM :CAR40 IMC_NOTIFY NLG4313 NLG439 SEA469 SMGMTGRP :"
02-08-2024 06_42_20,7012375,20,"MFS: *CFSRES INC0013 02/08/24 06:42 RESPOND STRUCTURE FIRE, ALARM LEVEL: 1, 15 ROBERTS RD HACKHAM WEST,MAP:ADL 186 K11,TG C173 T183, :CAR40 IMC_NOTIFY NLG4313 NLG439 SEA469 SMGMTGRP :"
02-08-2024 06_42_18,7012374,20,"MFS: *CFSRES INC0013 02/08/24 06:42 RESPOND STRUCTURE FIRE, ALARM LEVEL: 1, 15 ROBERTS RD HACKHAM WEST,MAP:ADL 186 K11,TG C173 T183, == FRIDGE ON FIRE WITHIN RUMPUS ROOM :CAR40 IMC_NOTIFY NLG4313 NLG439 SEA469 SMGMTGRP :"
02-08-2024 06_42_17,7012373,20,"NOTIFICATION MFS: *CFSRES INC0013 02/08/24 06:42 RESPOND STRUCTURE FIRE, ALARM LEVEL: 1, 15 ROBERTS RD HACKHAM WEST,MAP:ADL 186 K11,TG C173 T183, == FRIDGE ON FIRE WITHIN RUMPUS ROOM :CAR40 IMC_NOTIFY NLG4313 NLG439 SEA469 SMGMTGRP :"
02-08-2024 06_41_45,7012371,30,F67 PR: 5 - UNDERDALE 117 D 9 D00231 Disp: 06:41 Sick Perso
02-08-2024 06_40_31,7012370,30,BP63 PR: 2 - : @RFDS: FVF EX PGHL CONF 0645 *MBOT* ADELAIDE AIRPORT 128 H 6 D00230 Disp: 06:40 TRANSFER
02-08-2024 06_39_46,7012368,30,HB190 PR: 2 - GAWLER WEST 23 H 12 D00229 Disp: 06:39 Headache
02-08-2024 06_38_57,7012366,30,MV62 PR: 2 - HACKHAM WEST 186 K 11 D00227 Disp: 06:38 OTHER EMER
02-08-2024 06_37_45,7012365,30,"PLEASE HEAD TO QEH TO RELIEVE PA192, TA"
02-08-2024 06_36_51,7012364,20,"MFS: *CFSRES INC0013 02/08/24 06:36 RESPOND STRUCTURE FIRE, ALARM LEVEL: 1, 15 ROBERTS RD HACKHAM WEST,MAP:ADL 186 K11,TG C173 T183, == FRIDGE ON FIRE WITHIN RUMPUS ROOM :NLG4313 NLG439 :"
02-08-2024 06_36_50,7012363,20,"MFS: *CFSRES INC0013 02/08/24 06:36 RESPOND STRUCTURE FIRE, ALARM LEVEL: 1, 15 ROBERTS RD HACKHAM WEST,MAP:ADL 186 K11,TG C173 T183, == FRIDGE ON FIRE WITHIN RUMPUS ROOM :NLG4313 NLG439 :"
02-08-2024 06_36_48,7012362,20,"MFS: *CFSRES INC0013 02/08/24 06:36 RESPOND STRUCTURE FIRE, ALARM LEVEL: 1, 15 ROBERTS RD HACKHAM WEST,MAP:ADL 186 K11,TG C173 T183, :NLG4313 NLG439 :"
02-08-2024 06_35_55,7012361,30,RP62 PR: 2 - SALISBURY DOWNS 71 B 7 D00226 Disp: 06:35 Chest Pain
02-08-2024 06_35_12,7012360,30,E62 PR: 2 - SALISBURY NORTH 60 J 10 D00225 Disp: 06:35 Diabetic P
02-08-2024 06_34_51,7012359,30,PFD63 PR: 2 - SALISBURY DOWNS 71 B 7 D00224 Disp: 06:34 Chest Pain
02-08-2024 06_30_42,7012358,30,F64 PR: 2 - FULHAM GARDENS 116 B 9 D00222 Disp: 06:30 Breathing
02-08-2024 06_17_01,7012353,30,BO190 PR: 2 - : @PUNYELROO CARAVAN PARK PUNYELROO D00211 Disp: 05:09 Breathing ONLY 1 CALLED IN
02-08-2024 06_16_46,7012352,30,WV62 PR: 2 - : @OAKWOOD AGED CARE - ENFIELD:SITE ENFIELD 94 H 16 D00217 Disp: 06:16 Unconsciou
02-08-2024 06_11_55,7012351,30,PA62 PR: 2 - SEMAPHORE 91 J 5 D00215 Disp: 06:11 Breathing
02-08-2024 06_10_02,7012350,30,GOOD MORNING. HEAD TO THE RAH FOR EOS RELIEF PLEASE.
02-08-2024 06_09_15,7012349,30,PAR62 PR: 2 - PLYMPTON PARK 129 D 16 D00214 Disp: 06:09 Haemorrhag
02-08-2024 06_08_10,7012348,30,GOOD MORNING. HEAD TO THE RAH FOR EOS RELIEF PLEASE.
02-08-2024 06_06_36,7012347,30,PFD625 PR: 2 - : @HELPING HAND - GOLDEN GROVE GOLDEN GROVE 72 K 15 D00212 Disp: 06:06 Haemorrhag
02-08-2024 06_06_24,7012346,30,BO190 PR: 3 - BORDERTOWN SBT 1 C 9 D00211 Disp: 06:06 Falls
02-08-2024 06_00_57,7012342,30,WV62 PR: 2 - REGENCY PARK 105 M 5 D00208 Disp: 06:00 Traffic /
02-08-2024 05_55_45,7012340,30,MV182 PR: 2 - PORT WILLUNGA 223 K 4 D00206 Disp: 05:55 Traumatic
02-08-2024 05_55_03,7012339,20,"MFS: *CFSRES INC0010 02/08/24 05:54 RESPOND VEHICLE ACCIDENT, ALARM LEVEL: 1, NAWEENA RD/REGENCY RD REGENCY PARK,MAP:ADL 105 M5,TG C167 T187, == 2 CAR COLLISION NIL ENTRAPMENTS REPORTED :APK369 :"
02-08-2024 05_55_02,7012338,20,"MFS: *CFSRES INC0010 02/08/24 05:54 RESPOND VEHICLE ACCIDENT, ALARM LEVEL: 1, NAWEENA RD/REGENCY RD REGENCY PARK,MAP:ADL 105 M5,TG C167 T187, :APK369 :"
02-08-2024 05_54_29,7012337,30,MB182 PR: 3 - PORT ELLIOT 311 G 4 D00204 Disp: 03:00 Abdominal
02-08-2024 05_52_40,7012335,30,HB190 PR: 3 - : RAIZER EVANSTON PARK 33 M 6 D00203 Disp: 05:52 Falls
02-08-2024 05_47_55,7012334,30,HI719 PR: 2 - MAYLANDS 119 D 4 D00201 Disp: 05:47 OTHER EMER
02-08-2024 05_46_40,7012333,30,N182 PR: 2 - MORPHETT VALE 186 N 9 D00200 Disp: 05:46 OTHER EMER
02-08-2024 05_42_38,7012332,30,E192 PR: 2 - ELIZABETH SOUTH 61 L 4 D00199 Disp: 05:42 Unconsciou
02-08-2024 05_41_46,7012331,30,G171 PR: 2 - : @GAWLER GRANDE VIEWS GAWLER EAST 23 N 10 D00198 Disp: 05:41 Unconsciou
02-08-2024 05_41_19,7012330,30,PA197 PR: 8 - : @MOHO: ### MODBURY 96 H 2 D00197 Disp: 05:41 TRANSFER
02-08-2024 05_38_34,7012329,30,INCORRECT PAGE DISREGARD
02-08-2024 05_37_59,7012328,30,SEA183 PR: 2 - MORPHETT VALE 186 F 1 D00196 Disp: 05:37 Unconsciou
02-08-2024 05_37_28,7012327,30,PFD1935 PR: 3 - WILLASTON 23 H 3 D00194 Disp: 05:37 Sick Perso
02-08-2024 05_37_28,7012325,30,HB190 PR: 3 - WILLASTON 23 H 3 D00195 Disp: 05:37 Sick Perso
02-08-2024 05_37_28,7012324,30,DR8014 PR: 3 - WILLASTON 23 H 3 D00193 Disp: 05:37 Sick Perso
02-08-2024 05_36_14,7012323,30,GR192 PR: 2 - SALISBURY DOWNS 71 B 7 D00192 Disp: 05:36 Unknown Pr
02-08-2024 05_35_15,7012322,30,"HI GUYS, HAVE YOU HANDED OVER?"
02-08-2024 05_29_58,7012320,30,"HI GUYS, IS EVERYTHING OK WITH TRANSFER TO WBAP?"
02-08-2024 05_29_16,7012318,30,MM181 PR: 2 - : @PUNYELROO CARAVAN PARK PUNYELROO D00180 Disp: 05:09 Breathing
02-08-2024 05_27_49,7012317,30,PFD192 PR: 2 - MUNNO PARA WEST 42 A 2 D00190 Disp: 05:27 Chest Pain
02-08-2024 05_27_32,7012316,30,ARE YOU RAMPED?
02-08-2024 05_26_42,7012314,30,GG183 PR: 3 - : @ALL HALLOWS COURT NURSING HOME WESTBOURNE PARK 130 E 15 D00189 Disp: 05:26 Haemorrhag
02-08-2024 05_25_52,7012312,40,MFS: PTP20 - STOP FOR INC001 _FROM MFS ON SCENE. PLEASE ACK WITH ADEL FIRE IMMEDIATELY BY NSM RADIO OR PHONE
02-08-2024 05_25_46,7012311,30,PA192 PR: 2 - : @ST MARGARETS HOSPITAL SEMAPHORE SOUTH 91 G 9 D00187 Disp: 05:25 Convulsion
02-08-2024 05_22_02,7012309,30,GO181 PR: 2 - : @SEACHANGE VILLAGE:UNIT 91 SEACHANGE VILLAGE GOOLWA 307 L 4 D00186 Disp: 05:21 Haemorrhag
02-08-2024 05_20_30,7012307,30,C183 PR: 2 - NORTON SUMMIT 121 K 7 D00183 Disp: 05:20 Haemorrhag
02-08-2024 05_08_20,7012303,40,"MFS: *CFSRES INC:S0001 02/08/24 05:08 RESPOND FLOODING SALVAGE P2 5 OLOUGHLIN AV PORT PIRIE SOUTH MAP:PPI 3 L4 ,== ELDERLY OCCUPIER HOT WATER SYSTEM FLOODING :PTP20_49 :"
02-08-2024 05_05_12,7012301,30,GX187 PR: 7 - : @MOHO: ### MODBURY 96 H 2 D00177 Disp: 05:05 ADMISSION
02-08-2024 05_03_58,7012299,50,MS202 PLEASE TAKE FLEET 195 TO RFDS HANGER FOR MS182 - LANDING 0515 -THANKS COORD TEAM
02-08-2024 05_03_58,7012298,50,MS202 PLEASE TAKE FLEET 195 TO RFDS HANGER FOR MS182 - LANDING 0515 -THANKS COORD TEAM
02-08-2024 05_03_56,7012296,50,MS202 PLEASE TAKE FLEET 195 TO RFDS HANGER FOR MS182 - LANDING 0515 -THANKS COORD TEAM
